notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
738.0,456.0,0.61809,30.0,0.0,1,0.62745,1224,9110,7.562515414757821E-4,1125315 1174888 -1 1322184 -1  -2 
746.0,452.0,0.6227,30.0,0.0,1,0.63192,1228,9110,7.452363961294215E-4,1125315 -1 1545958 -1  -2 
491.0,466.0,0.51306,25.0,0.0,1,0.52546,982,9110,7.239391912883021E-4,975125 -1  -2 
576.0,531.0,0.52033,28.0,0.0,1,0.53216,1135,9110,7.191087511026203E-4,1125315 -1 1201620 -1  -2 
561.0,647.0,0.4644,30.0,0.0,1,0.47738,1238,9110,7.182043339548832E-4,923645 -1  -2 
450.0,661.0,0.40504,28.0,0.0,1,0.41967,1139,9110,7.079507336713862E-4,1125315 -1 1000560 -1  -2 
515.0,416.0,0.55317,24.0,0.0,1,0.5644,955,9110,6.548647765018901E-4,1125315 -1 903963 -1  -2 
448.0,497.0,0.47407,24.0,0.0,1,0.4871,969,9110,6.147535326806112E-4,1125315 -1 1149380 -1  -2 
594.0,404.0,0.59519,25.0,0.0,1,0.60508,1023,9110,6.061238605420469E-4,1526475 -1  -2 
733.0,422.0,0.63463,28.0,0.0,1,0.64328,1183,9110,5.932758369007901E-4,1322184 -1 1322184 -1  -2 
492.0,565.0,0.46547,26.0,0.0,1,0.4783,1083,9110,5.835705310202713E-4,1125315 -1 1713332 1759842 -1  -2 
497.0,769.0,0.39258,30.0,0.0,1,0.40664,1296,9110,5.749203744520526E-4,791967 -1  -2 
654.0,510.0,0.56186,28.0,0.0,1,0.57215,1192,9110,5.71558230645193E-4,1713332 -1 1734104 -1  -2 
808.0,463.0,0.63572,30.0,0.0,1,0.64412,1301,9110,5.635898244885686E-4,1539403 -1 1539403 -1  -2 
563.0,660.0,0.46034,29.0,0.0,1,0.47284,1252,9110,5.545079790613448E-4,948078 -1  -2 
667.0,361.0,0.64883,25.0,0.0,1,0.65717,1053,9110,5.29226466757721E-4,1539403 -1 1307046 -1  -2 
619.0,571.0,0.52017,28.0,0.0,1,0.5312,1218,9110,5.119323038330593E-4,1163944 -1  -2 
357.0,538.0,0.39888,22.0,0.0,1,0.4133,917,9110,4.8216135651384936E-4,1713332 -1 1742253 -1  -2 
387.0,569.0,0.40481,23.0,0.0,1,0.41879,979,9110,4.5748447261743247E-4,1174888 -1 1000560 -1  -2 
